INFO:root:KernelVGAE SETING: Namespace(PATH='model', UseGPU=True, Vis_step=3000, batchSize=200, beta=None, bfsOrdering=True, dataset='triangular_grid', decoder='FC', device='cuda:0', directed=False, encoder_type='AvePool', epoch_number=20000, graphEmDim=1024, graph_save_path=None, lr=0.0003, model='kipf', negative_sampling_rate=1, num_of_comunities=256, redraw=False, save_embeddings_to_file=False, split_the_data_to_train_test=True, task='graphGeneration', use_feature=True)
INFO:root:kernl_type:[]
INFO:root:alpha: [1, 1] num_step:0
INFO:root:the selected device is :cuda:0
INFO:root:kernelGVAE(
  (kernel): kernel()
  (decode): GraphTransformerDecoder_FC(
    (normLayers): ModuleList(
      (0): LayerNorm((1024,), eps=1e-05, elementwise_affine=False)
      (1): LayerNorm((1024,), eps=1e-05, elementwise_affine=False)
      (2): LayerNorm((1024,), eps=1e-05, elementwise_affine=False)
    )
    (layers): ModuleList(
      (0): Linear(in_features=1024, out_features=1024, bias=True)
      (1): Linear(in_features=1024, out_features=1024, bias=True)
      (2): Linear(in_features=1024, out_features=1024, bias=True)
      (3): Linear(in_features=1024, out_features=18145, bias=True)
    )
  )
  (encode): AveEncoder(
    (normLayers): ModuleList(
      (0): LayerNorm((256,), eps=1e-05, elementwise_affine=False)
      (1): LayerNorm((1024,), eps=1e-05, elementwise_affine=False)
      (2): LayerNorm((1024,), eps=1e-05, elementwise_affine=False)
    )
    (GCNlayers): ModuleList(
      (0): GraphConv(in=191, out=256, normalization=both, activation=None)
      (1): GraphConv(in=256, out=1024, normalization=both, activation=None)
    )
    (poolingLayer): AvePool()
    (stochastic_mean_layer): node_mlp(
      (layers): ModuleList(
        (0): Linear(in_features=1024, out_features=1024, bias=True)
      )
      (dropout): Dropout(p=0, inplace=False)
    )
    (stochastic_log_std_layer): node_mlp(
      (layers): ModuleList(
        (0): Linear(in_features=1024, out_features=1024, bias=True)
      )
      (dropout): Dropout(p=0, inplace=False)
    )
  )
  (stochastic_mean_layer): node_mlp(
    (layers): ModuleList(
      (0): Linear(in_features=1024, out_features=1024, bias=True)
    )
    (dropout): Dropout(p=0, inplace=False)
  )
  (stochastic_log_std_layer): node_mlp(
    (layers): ModuleList(
      (0): Linear(in_features=1024, out_features=1024, bias=True)
    )
    (dropout): Dropout(p=0, inplace=False)
  )
)
INFO:root:Epoch: 001 |Batch: 000 | loss: 3.540589 | reconstruction_loss: 2.863765 | z_kl_loss: 0.676824 | accu: 0.500351 Binary_Cross_Entropy:2.863764762878418.   KL-D:0.6768240332603455.
INFO:root:Epoch: 002 |Batch: 000 | loss: 3.054158 | reconstruction_loss: 2.782156 | z_kl_loss: 0.272002 | accu: 0.513713 Binary_Cross_Entropy:2.782156467437744.   KL-D:0.2720019519329071.
INFO:root:Epoch: 003 |Batch: 000 | loss: 2.714329 | reconstruction_loss: 2.561648 | z_kl_loss: 0.152681 | accu: 0.574303 Binary_Cross_Entropy:2.56164813041687.   KL-D:0.15268124639987946.
INFO:root:Epoch: 004 |Batch: 000 | loss: 2.280134 | reconstruction_loss: 2.123557 | z_kl_loss: 0.156577 | accu: 0.715590 Binary_Cross_Entropy:2.1235568523406982.   KL-D:0.1565774828195572.
INFO:root:Epoch: 005 |Batch: 000 | loss: 1.945162 | reconstruction_loss: 1.733552 | z_kl_loss: 0.211610 | accu: 0.833677 Binary_Cross_Entropy:1.7335524559020996.   KL-D:0.2116096317768097.
INFO:root:Epoch: 006 |Batch: 000 | loss: 1.681274 | reconstruction_loss: 1.427944 | z_kl_loss: 0.253330 | accu: 0.901622 Binary_Cross_Entropy:1.4279441833496094.   KL-D:0.25333020091056824.
INFO:root:Epoch: 007 |Batch: 000 | loss: 1.446502 | reconstruction_loss: 1.182416 | z_kl_loss: 0.264086 | accu: 0.931276 Binary_Cross_Entropy:1.1824158430099487.   KL-D:0.2640862464904785.
INFO:root:Epoch: 008 |Batch: 000 | loss: 1.241791 | reconstruction_loss: 0.993773 | z_kl_loss: 0.248018 | accu: 0.940790 Binary_Cross_Entropy:0.9937729835510254.   KL-D:0.24801814556121826.
INFO:root:Epoch: 009 |Batch: 000 | loss: 1.063625 | reconstruction_loss: 0.847261 | z_kl_loss: 0.216364 | accu: 0.943111 Binary_Cross_Entropy:0.8472611308097839.   KL-D:0.21636426448822021.
INFO:root:Epoch: 010 |Batch: 000 | loss: 0.916691 | reconstruction_loss: 0.736790 | z_kl_loss: 0.179901 | accu: 0.943462 Binary_Cross_Entropy:0.7367898225784302.   KL-D:0.17990149557590485.
INFO:root:Epoch: 011 |Batch: 000 | loss: 0.801809 | reconstruction_loss: 0.655413 | z_kl_loss: 0.146396 | accu: 0.943582 Binary_Cross_Entropy:0.6554133892059326.   KL-D:0.14639583230018616.
INFO:root:Epoch: 012 |Batch: 000 | loss: 0.716928 | reconstruction_loss: 0.597516 | z_kl_loss: 0.119412 | accu: 0.943592 Binary_Cross_Entropy:0.5975162386894226.   KL-D:0.11941204220056534.
